,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Grand Gaube,MU,74.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
211,Thinadhoo,MV,82.51,broken clouds,0.5333,72.9333,True
215,Salinopolis,BR,80.01,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
216,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
217,Pandan,PH,85.39,overcast clouds,14.0453,124.1694,Bonifacio Lodge
218,Piacabucu,BR,74.05,few clouds,-10.4056,-36.4344,Piaçabuçu News
219,Quatre Cocos,MU,74.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
220,San Patricio,US,78.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
222,Pailon,BO,79.7,overcast clouds,-17.65,-62.75,La plaza
225,Cururupu,BR,77.76,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
229,Benghazi,LY,71.94,clear sky,32.1167,20.0667,Tibesti Hotel
230,Xuddur,SO,73.29,broken clouds,4.1213,43.8894,Banjanay Hotel
233,Pemangkat,ID,80.47,light rain,1.1667,108.9667,Hotel Duyung Permai 2
236,Dicabisagan,PH,86.45,light rain,17.0818,122.4157,Nancy Montanes Bernardo
237,Itoman,JP,86.4,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
239,Daru,PG,82.38,overcast clouds,-9.0763,143.2092,Daru Lodge
241,Los Llanos De Aridane,ES,70.12,overcast clouds,28.6585,-17.9182,Valle Aridane
243,Melaka,MY,80.64,few clouds,2.196,102.2405,Hatten Hotel Melaka
245,Porbandar,IN,83.55,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
247,Meulaboh,ID,81.28,broken clouds,4.1363,96.1285,Kost Pria
248,Singarayakonda,IN,75.58,moderate rain,15.25,80.0333,Sri Nrk A/C Lodge
249,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
250,Manati,PR,82.67,scattered clouds,18.4275,-66.4921,Manati World Point Inn
251,Gamba,GA,75.54,light rain,-2.65,10.0,True
252,Kismayo,SO,77.94,scattered clouds,-0.3582,42.5454,Agan-Hotel
254,Barra Do Garcas,BR,76.8,overcast clouds,-15.89,-52.2567,Pousada Tropical
259,Tautira,PF,76.59,broken clouds,-17.7333,-149.15,Pension Oaoa
261,Gorontalo,ID,87.82,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
262,Namatanai,PG,85.15,light rain,-3.6667,152.4333,Seagulls Inn Namatani
264,Las Varas,MX,78.82,broken clouds,21.1667,-105.1667,Casa Palapas
267,Zhongshan,CN,84.81,clear sky,21.3226,110.5829,Jianmin Restaurant
268,Ambilobe,MG,75.07,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
270,Sao Joao Da Barra,BR,70.63,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
274,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
284,Puerto Escondido,MX,79.29,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
287,Idenao,CM,75.88,overcast clouds,4.2475,9.0047,Moland Beach Resort
288,Ciudad Bolivar,VE,75.15,overcast clouds,8.1222,-63.5497,Hotel Edi
291,Lazaro Cardenas,MX,78.3,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
292,Touros,BR,75.6,clear sky,-5.1989,-35.4608,INN NEW HORIZON
295,Sand Springs,US,76.23,scattered clouds,36.1398,-96.1089,Magnuson Hotel Sand Springs-Tulsa West
301,Sao Jose Da Coroa Grande,BR,75.31,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
306,Mehran,IR,87.35,clear sky,33.1222,46.1646,بوتیک زنانه بهار
308,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
309,Tanabe,JP,72.61,broken clouds,33.7333,135.3667,美吉屋旅館
311,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
314,Beira,MZ,71.69,mist,-19.8436,34.8389,Beira Terrace Hotel
315,Bac Lieu,VN,77.0,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
316,Vanimo,PG,85.57,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
317,Sohag,EG,75.49,clear sky,26.557,31.6948,Civil Registry - Sohag 1
318,Tomatlan,MX,74.35,few clouds,19.9333,-105.25,El Salvial
320,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
324,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
325,Indramayu,ID,85.64,light rain,-6.3264,108.32,Grand Trisula Hotel
326,San Policarpo,PH,83.73,scattered clouds,12.1791,125.5072,Agapita M. Nicart
327,Sigli,ID,83.48,overcast clouds,5.3848,95.9609,Losmen Dua Mali
328,Tura,IN,78.4,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
333,Sapa,PH,84.94,overcast clouds,5.1544,120.3241,True
334,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
335,Abu Dhabi,AE,84.96,haze,24.4667,54.3667,Beach Rotana
347,Kavieng,PG,84.29,light rain,-2.5744,150.7967,Nusa Island Retreat
351,La Asuncion,VE,78.53,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
353,Sakakah,SA,76.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
355,Balsas,BR,78.48,clear sky,-7.5325,-46.0356,Novo Hotel
359,Mumford,GH,74.93,light rain,5.2618,-0.759,Peace Guest House
361,Maumere,ID,85.59,overcast clouds,-8.6199,122.2111,Sylvia Hotel
370,Amapa,BR,70.57,scattered clouds,1.0,-52.0,True
373,Coahuayana,MX,76.66,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
375,Adrar,MR,84.6,clear sky,20.5022,-10.0711,True
379,Hervey Bay,AU,74.01,broken clouds,-25.2986,152.8535,Shelly Bay Resort
383,Gogrial,SS,71.53,overcast clouds,8.5332,28.1004,True
386,Labuhan,ID,84.99,overcast clouds,-6.8844,112.2051,DoubleFAG
387,Kandrian,PG,86.86,light rain,-6.2167,149.55,Kandrian Station
388,Weligama,LK,80.6,overcast clouds,5.9667,80.4167,Weligama Bay Resort
389,Inirida,CO,74.05,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
391,Nisia Floresta,BR,79.18,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
394,Sorong,ID,83.26,broken clouds,-0.8833,131.25,Waigo Splash Hotel
396,Itarema,BR,77.95,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
407,Fort Walton Beach,US,71.98,clear sky,30.4058,-86.6188,Best Western Ft. Walton Beachfront
408,Mildura,AU,75.07,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
414,Pochutla,MX,76.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
415,Sassandra,CI,73.18,scattered clouds,4.95,-6.0833,la terrasse
420,Laguna,US,77.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
422,Acajutla,SV,78.13,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
423,Santo Antonio Do Ica,BR,77.14,broken clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
424,Bandundu,CD,73.65,moderate rain,-3.3167,17.3667,Coja Color
428,Tupa,BR,72.61,broken clouds,-21.9347,-50.5136,Grande Hotel Tamoios
429,Ixtapa,MX,74.25,broken clouds,20.7,-105.2,hotel la terminal
431,Babra,IN,81.68,overcast clouds,21.85,71.3,Old Circuit House
432,Hobyo,SO,78.13,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
434,Sur,OM,86.16,clear sky,22.5667,59.5289,Sur Plaza Hotel
436,Hoa Binh,VN,87.35,scattered clouds,20.8133,105.3383,Hoa Dao Hotel
437,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
439,Davila,PH,86.65,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
441,Kunming,CN,72.66,scattered clouds,25.0389,102.7183,昆明佳华广场酒店
444,Boyolangu,ID,79.14,light rain,-8.1181,111.8935,Yos ega cv
446,Mancio Lima,BR,75.78,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
452,Los Gatos,US,70.32,clear sky,37.2266,-121.9747,Hotel Los Gatos
455,Chandbali,IN,86.7,broken clouds,20.7833,86.7667,Sabitri Bhavan
465,Dickinson,US,75.31,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
469,Nuqui,CO,76.39,light rain,5.7125,-77.2708,Hotel Nuquimar
476,Barra Do Corda,BR,78.94,clear sky,-5.5,-45.25,Belchior Palace Hotel
477,Mahebourg,MU,75.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
479,Jalalabad,AF,78.48,clear sky,34.4265,70.4515,Waheed
486,Kavaratti,IN,81.84,overcast clouds,10.5669,72.642,Green leaf
489,Boulsa,BF,79.16,overcast clouds,12.6675,-0.5758,Auberge Relwende
490,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
499,Nabire,ID,85.28,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
500,Na Klang,TH,83.35,broken clouds,17.3072,102.1889,สบายดี รีสอร์ท (อ.นากลาง จ.หนองบัวลำภู)
503,Sinnamary,GF,78.08,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
505,Cockburn Town,TC,83.14,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
508,Moranbah,AU,83.88,scattered clouds,-22.0016,148.0466,Property Vine - Monterey Moranbah
510,Nouakchott,MR,85.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
511,Todos Santos,MX,77.31,clear sky,23.45,-110.2167,Hotel California Todos Santos
512,Jorochito,BO,79.09,heavy intensity rain,-18.05,-63.4333,Tom´s Hauss
514,Wanning,CN,82.89,few clouds,18.8003,110.3967,Paradise Hotel
517,Itaituba,BR,78.67,scattered clouds,-4.2761,-55.9836,Hotel Campos
519,Basco,PH,82.78,few clouds,20.4487,121.9702,Nathaniel's Lodge
523,Kovur,IN,79.83,light rain,14.4833,79.9833,Hotel Yesh Park
525,Marihatag,PH,85.84,broken clouds,8.7936,126.2969,Mariner's Place & Resort
526,Tuensang,IN,72.93,overcast clouds,26.2833,94.8333,B.W.D Resthouse.
529,Sungairaya,ID,83.48,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
530,Mana,GF,77.9,clear sky,5.6592,-53.7767,LE SAMANA
532,Luba,GQ,77.4,light rain,3.4568,8.5547,True
533,Hurghada,EG,76.37,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
535,Roebourne,AU,88.03,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
536,Cuamba,MZ,70.03,clear sky,-14.8031,36.5372,Hotel Vision
537,Palimbang,PH,84.76,overcast clouds,6.2106,124.1894,Felmar Beach resort
543,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
547,Gushikawa,JP,85.62,scattered clouds,26.3544,127.8686,Kirari Guest House
548,Weatherford,US,73.31,few clouds,32.7593,-97.7972,Woodland Suites
550,Carutapera,BR,78.55,clear sky,-1.195,-46.02,Lidera
559,Hinatuan,PH,83.01,broken clouds,8.3722,126.3342,Villa Juanita Hinatuan
565,Naze,JP,77.11,broken clouds,28.3667,129.4833,Shishime Hotel
566,Asyut,EG,72.14,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
568,Brandon,US,71.92,clear sky,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
576,Chabahar,IR,82.0,clear sky,25.2919,60.643,هتل گدروشیا
577,Atar,MR,87.24,few clouds,20.5169,-13.0499,Oumou Elghoura
578,Tondano,ID,82.49,broken clouds,1.3038,124.9112,Villa Bella
580,Poum,NC,75.15,overcast clouds,-20.2333,164.0167,True
582,Blackwater,AU,83.55,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
584,Turayf,SA,73.08,clear sky,31.6725,38.6637,Al Mudawah Hotel
589,Mae Tha,TH,89.46,broken clouds,18.4646,99.1403,Pichamol Resort and Nursing Home
595,China,MX,77.77,broken clouds,25.7,-99.2333,González Reyes Artemio
598,Voh,NC,76.95,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
599,Jaswantnagar,IN,74.46,overcast clouds,26.8786,78.9028,Shree hari electronics and mobile repair senter
600,Port-Gentil,GA,77.4,overcast clouds,-0.7193,8.7815,Fengshui Residence
602,Uthal,PK,83.55,clear sky,25.8072,66.6219,Al-Mustafa Hotel
604,Buchanan,LR,75.67,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
612,Bandar-E Lengeh,IR,87.91,haze,26.5579,54.8807,کافی نت پارس
614,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
616,Matara,LK,81.27,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
618,Nador,MA,70.05,broken clouds,35.174,-2.9287,Hôtel La Giralda
624,Eirunepe,BR,74.01,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
627,Lufilufi,WS,80.69,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
628,Les Cayes,HT,78.91,scattered clouds,18.2,-73.75,Villa Orphee
629,Khorramshahr,IR,76.96,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
631,Adre,TD,75.6,broken clouds,13.4667,22.2,True
632,Bilma,NE,83.64,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
635,Nishihara,JP,85.68,few clouds,26.1842,127.7558,Minshuku Agaihama
637,Iralaya,HN,78.85,overcast clouds,15.0,-83.2333,Iglesia morava renovada
639,Kudahuvadhoo,MV,81.43,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
643,Kawalu,ID,76.1,overcast clouds,-7.3817,108.2082,West Jontor
646,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
651,Dalmau,IN,76.35,overcast clouds,26.0667,81.0333,Tripathi Hotel
652,Bacabal,BR,76.41,clear sky,-4.2917,-44.7917,Rancho Sol Nascente
654,Gizo,SB,85.6,overcast clouds,-8.103,156.8419,Imagination Island
655,Balaipungut,ID,89.31,light rain,1.05,101.2833,Darmo wira
660,Arlit,NE,85.77,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
668,Rangpur,BD,83.89,broken clouds,25.75,89.25,Hotel Shah Amanat
671,Fairhope,US,72.75,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
673,West Bay,KY,83.07,scattered clouds,19.3667,-81.4167,Calypso Cove
676,San Francisco,US,70.52,few clouds,37.7749,-122.4194,Edwardian Hotel
677,Pontianak,ID,82.38,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
678,Bowen,AU,78.3,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
681,Cartagena,CO,80.22,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
683,Damietta,EG,73.29,clear sky,31.4165,31.8133,SULIMAN INN
684,Surt,LY,73.96,clear sky,31.2089,16.5887,فندق المدينة
